loss,val_loss
0.5975,0.5066
0.4914,0.4318
0.4382,0.4168
0.4145,0.394
0.3936,0.3681
0.3772,0.3683
0.3638,0.3444
0.3467,0.329
0.3342,0.3493
0.3202,0.3284
0.3125,0.3206
0.299,0.2986
0.2887,0.3012
0.28,0.3007
0.2735,0.2828
0.2622,0.2733
0.2557,0.2676
0.2504,0.2712
0.2424,0.2791
0.2362,0.2644
0.2323,0.2484
0.2216,0.2581
0.2188,0.2524
0.2118,0.2452
0.2081,0.243
0.2018,0.2591
0.1965,0.238
0.1908,0.2395
0.1902,0.2284
0.1831,0.233
0.182,0.2363
0.1774,0.2431
0.1725,0.2407
0.1681,0.2291
0.1631,0.2241
0.1631,0.2297
0.1584,0.242
0.1566,0.2432
0.1523,0.2265
0.1479,0.2216
0.1506,0.2337
0.144,0.2293
0.1427,0.233
0.1411,0.2228
0.1389,0.2227
0.1378,0.2199
0.1322,0.2269
0.1328,0.2119
0.1304,0.2306
0.1281,0.2255
0.1266,0.2172
0.1271,0.2268
0.1248,0.2406
0.1246,0.2237
0.1195,0.2252
0.1186,0.2187
0.1174,0.2232
0.1163,0.2116
0.1123,0.2093
0.1134,0.2301
0.1113,0.2209
0.1084,0.222
0.1098,0.239
0.1073,0.2278
0.1059,0.2262
0.1049,0.2075
0.1059,0.2124
0.1029,0.22
0.1032,0.2168
0.1029,0.2108
0.1002,0.2122
0.0997,0.2193
0.0983,0.2044
0.0948,0.222
0.0979,0.2324
0.0952,0.2082
0.0946,0.2054
0.0946,0.2099
0.0931,0.212
0.0917,0.2084
0.091,0.2187
0.0923,0.206
0.0885,0.205
0.0873,0.2266
0.0877,0.2369
0.0892,0.2154
0.0889,0.2001
0.086,0.2016
0.0862,0.1965
0.0847,0.2012
0.0817,0.201
0.084,0.1991
0.0826,0.1984
0.084,0.1965
0.0827,0.2075
0.0811,0.2136
0.0825,0.2124
0.0804,0.2146
0.0819,0.1914
0.0796,0.2066
0.0812,0.1979
0.08,0.2221
0.0784,0.1931
0.0755,0.2003
0.0781,0.2059
0.0769,0.198
0.0746,0.1979
0.0764,0.197
0.0731,0.2032
0.072,0.2037
0.0732,0.2061
0.0706,0.2012
0.0727,0.2002
0.0731,0.1993
0.0746,0.2022
0.0706,0.2114
0.071,0.1968
0.0717,0.2016
0.0707,0.2069
0.0702,0.198
0.0671,0.1989
0.0694,0.1995
0.0688,0.2074
0.0699,0.2011
0.0681,0.19
0.065,0.2001
0.0672,0.2022
0.066,0.2016
0.0664,0.1936
0.0671,0.1915
0.0655,0.1929
0.064,0.1968
0.0673,0.2142
0.0663,0.2035
0.0642,0.2085
0.0636,0.2011
0.0637,0.2038
0.0679,0.2034
0.065,0.2028
0.0634,0.2075
0.061,0.187
0.0616,0.1895
0.0617,0.2131
0.0636,0.1985
0.0623,0.2021
0.0604,0.1967
0.06,0.1981
0.0624,0.1931
0.0614,0.1968
0.0608,0.1854
0.0603,0.1904
0.0598,0.1866
0.0583,0.1887
0.0594,0.1922
0.0582,0.1974
0.0598,0.1919
0.0587,0.1856
0.0599,0.1899
0.0561,0.2015
0.0576,0.1907
0.0563,0.1863
0.0568,0.1956
0.0579,0.1894
0.056,0.197
0.057,0.1864
0.0556,0.1894
0.056,0.1993
0.0562,0.19
0.0556,0.1887
0.0574,0.1894
0.0551,0.1824
0.0537,0.199
0.0532,0.1897
0.0567,0.1969
0.0548,0.1857
0.0551,0.1921
0.0557,0.1871
0.0536,0.1906
0.0541,0.1853
0.0541,0.2013
0.0538,0.1932
0.0529,0.1842
0.0531,0.1846
0.0524,0.2043
0.0523,0.1876
0.0515,0.1893
0.0521,0.1841
0.0522,0.1895
0.0511,0.1909
0.0512,0.1851
0.051,0.1873
0.0513,0.1817
0.0504,0.1835
0.0512,0.1844
0.0511,0.185
0.0502,0.1886
0.0491,0.1886
0.0526,0.1867
0.05,0.1814
0.0509,0.1891
