loss,val_loss
0.6069,0.5194
0.5017,0.4922
0.4488,0.4191
0.4206,0.3782
0.4039,0.3739
0.3843,0.3761
0.3703,0.3628
0.3579,0.3436
0.3428,0.3232
0.3328,0.3125
0.3157,0.3145
0.3064,0.3099
0.2975,0.3101
0.2885,0.2845
0.2782,0.284
0.2711,0.2762
0.2616,0.278
0.2564,0.2588
0.2462,0.2609
0.2397,0.2555
0.232,0.2536
0.2291,0.2819
0.2221,0.2542
0.2141,0.251
0.2097,0.2542
0.2066,0.2653
0.1994,0.2623
0.1954,0.2394
0.1925,0.2456
0.189,0.2344
0.1844,0.2378
0.1804,0.2393
0.1751,0.2536
0.1719,0.2436
0.1711,0.2432
0.1646,0.2323
0.1616,0.2423
0.1565,0.2403
0.1555,0.2458
0.1547,0.2707
0.149,0.2276
0.1491,0.2304
0.1426,0.2654
0.143,0.2362
0.1393,0.2353
0.1388,0.2299
0.1373,0.2282
0.1342,0.2398
0.1324,0.2262
0.1288,0.2363
0.1291,0.2242
0.1268,0.2244
0.1249,0.2358
0.1246,0.2559
0.1234,0.2281
0.1192,0.2362
0.1179,0.2141
0.1172,0.2441
0.1148,0.2242
0.1145,0.2424
0.1106,0.2237
0.112,0.2398
0.1096,0.2389
0.1085,0.2173
0.1081,0.2298
0.1078,0.2225
0.102,0.2454
0.1039,0.2428
0.0977,0.2183
0.1039,0.2295
0.1009,0.2032
0.0976,0.2236
0.0999,0.2199
0.0985,0.2236
0.0987,0.2145
0.0974,0.203
0.0957,0.2151
0.094,0.2151
0.095,0.2209
0.0936,0.2501
0.0919,0.2133
0.0901,0.2299
0.093,0.2249
0.0907,0.2226
0.0898,0.2126
0.0872,0.2277
0.0885,0.2045
0.0882,0.2292
0.0876,0.2461
0.084,0.2192
0.0847,0.2395
0.0834,0.2126
0.0841,0.2347
0.0823,0.2066
0.0828,0.225
0.0843,0.2175
0.081,0.2002
0.0804,0.2136
0.0801,0.2092
0.0838,0.2009
0.0797,0.2178
0.0789,0.2193
0.0775,0.215
0.0761,0.2194
0.0779,0.2054
0.0776,0.1983
0.0751,0.2225
0.0737,0.2149
0.0758,0.2103
0.0738,0.2033
0.0736,0.2174
0.0751,0.2107
0.0724,0.2237
0.0727,0.21
0.0724,0.21
0.0705,0.2095
0.0718,0.2207
0.0688,0.2037
0.073,0.1984
0.0685,0.1941
0.0719,0.1994
0.0688,0.2096
0.069,0.2006
0.0678,0.215
0.0692,0.2083
0.0673,0.202
0.0697,0.1996
0.0671,0.2111
0.0671,0.2018
0.0677,0.2014
0.0669,0.2004
0.0662,0.1986
0.0639,0.1913
0.0665,0.2026
0.0639,0.197
0.0629,0.2132
0.0623,0.2131
0.0644,0.2028
0.0638,0.2112
0.0631,0.205
0.0629,0.2077
0.0648,0.2138
0.0598,0.2109
0.0619,0.1997
0.0641,0.1938
0.06,0.1908
0.0609,0.1983
0.0613,0.1949
0.0622,0.1987
0.061,0.2034
0.0606,0.1972
0.059,0.1962
0.0616,0.2115
0.061,0.1972
0.0588,0.2022
0.0572,0.1977
0.0588,0.2036
0.0616,0.2085
0.0577,0.1966
0.0578,0.1956
0.0559,0.198
0.0588,0.196
0.0549,0.1988
0.057,0.2134
0.0566,0.2052
0.0591,0.1957
0.0554,0.1942
0.057,0.1976
0.0562,0.1925
0.0547,0.1951
0.0544,0.1939
0.0549,0.1974
0.0549,0.1949
0.0557,0.2042
0.0544,0.2056
0.0529,0.2009
